1,CARD,1.0
1,CASH,12.399999618530273
1,CARD,12.399999618530273
1,null,1.7976931348623157E308
1,CARD,1.0
1,CASH,10.0
1,CASH,10.0
2,CASH,10.0
1,CASH,10.0
2,CASH,10.0
3,CASH,10.0
1,CASH,10.0
2,CASH,10.0
3,CASH,10.0
4,CASH,10.0
1,CASH,10.0
2,CASH,10.0
3,CASH,10.0
4,CASH,10.0
5,CASH,10.0
1,CASH,10.0
2,CASH,10.0
3,CASH,10.0
4,CASH,10.0
5,CASH,10.0
6,CASH,10.0
1,CASH,10.0
2,CASH,10.0
3,CASH,10.0
4,CASH,10.0
5,CASH,10.0
6,CASH,10.0
7,CASH,10.0
1,CASH,10.0
2,CASH,10.0
3,CASH,10.0
4,CASH,10.0
5,CASH,10.0
6,CASH,10.0
7,CASH,10.0
8,CASH,10.0
1,CASH,12.399999618530273
1,CASH,12.399999618530273
1,CARD,12.399999618530273
2,CASH,12.7
2,CASH,12.7
1,CASH,22.7
2,CARD,12.7
2,CARD,12.7
1,CARD,10.7
2,CASH,12.7
2,CASH,12.7
1,CASH,22.7
2,CASH,12.7
1,CASH,22.7
2,CARD,12.7
2,CASH,12.7
1,CASH,22.7
2,CARD,12.7
1,CARD,10.7
2,CASH,12.7
2,CASH,12.7
1,CASH,22.7
2,CARD,12.7
2,CARD,12.7
1,CARD,10.7
2,CASH,12.7
2,CASH,12.7
1,CASH,22.7
2,CASH,12.7
1,CASH,22.7
2,CARD,12.7
2,CASH,12.7
1,CASH,22.7
2,CARD,12.7
1,CARD,10.7
